,Pop_ID,Population,Row,Column,Block,Family,Replicate,Comment,Date_oldest_inflor_flower,Date_youngest_inflor_flower,Date_first_follicle_2in,Pods,Peduncles,Flower_count_I1,Hood_L.I1F1,Hood_W.I1F1,Corolla_L.I1F1,Corolla_W.I1F1,Flower_L.I1F1,Flower_W.I1F1,Poll_rem.I1F1,Hood_L.I1F2,Hood_W.I1F2,Corolla_L.I1F2,Corolla_W.I1F2,Flower_L.I1F2,Flower_W.I1F2,Poll_rem.I1F2,Hood_L.I1F3,Hood_W.I1F3,Corolla_L.I1F3,Corolla_W.I1F3,Flower_L.I1F3,Flower_W.I1F3,Poll_rem.I1F3,Flower_count_I2,Hood_L.I2F1,Hood_W.I2F1,Corolla_L.I2F1,Corolla_W.I2F1,Flower_L.I2F1,Flower_W.I2F1,Poll_rem.I2F1,Hood_L.I2F2,Hood_W.I2F2,Corolla_L.I2F2,Corolla_W.I2F2,Flower_L.I2F2,Flower_W.I2F2,Poll_rem.I2F2,Hood_L.I2F3,Hood_W.I2F3,Corolla_L.I2F3,Corolla_W.I2F3,Flower_L.I2F3,Flower_W.I2F3,Poll_rem.I2F3,Flower_count_I3,Hood_L.I3F1,Hood_W.I3F1,Corolla_L.I3F1,Corolla_W.I3F1,Flower_L.I3F1,Flower_W.I3F1,Poll_rem.I3F1,Hood_L.I3F2,Hood_W.I3F2,Corolla_L.I3F2,Corolla_W.I3F2,Flower_L.I3F2,Flower_W.I3F2,Poll_rem.I3F2,Hood_L.I3F3,Hood_W.I3F3,Corolla_L.I3F3,Corolla_W.I3F3,Flower_L.I3F3,Flower_W.I3F3,Poll_rem.I3F3,Flowered2021,Hood.I1F1,Hood.I1F2,Hood.I1F3,Hood.I2F1,Hood.I2F2,Hood.I2F3,Hood.I3F1,Hood.I3F2,Hood.I3F3,Hood.I1,Hood.I2,Hood.I3,Hood_mean,Corolla.I1F1,Corolla.I1F2,Corolla.I1F3,Corolla.I2F1,Corolla.I2F2,Corolla.I2F3,Corolla.I3F1,Corolla.I3F2,Corolla.I3F3,Corolla.I1,Corolla.I2,Corolla.I3,Corolla_mean,Flower.I1F1,Flower.I1F2,Flower.I1F3,Flower.I2F1,Flower.I2F2,Flower.I2F3,Flower.I3F1,Flower.I3F2,Flower.I3F3,Flower.I1,Flower.I2,Flower.I3,Flower_mean,Overall_mean,mean_flower_count,total_flower_count,X,Patch_ID,Latitude,Longitude,Transect_ID,CTD_m,City_dist,Urb_Rur,Urb_score
49,MW031,31,16,7,3,1,2,NA,7/14/2021,7/19/2021,NA,0,2,4,4.67,2.17,6.62,3.85,9.02,9.27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,5.06,2.27,6.95,3.8,7.77,8.17,0,4.92,2.27,6.47,3.95,8.63,8.48,1,4.19,2.25,5.45,4.08,6.45,6.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10.1339,NA,NA,11.4862,11.1684,9.4275,NA,NA,NA,10.1339,10.69403333,NA,10.41396667,25.487,NA,NA,26.41,25.5565,22.236,NA,NA,NA,25.487,24.73416667,NA,25.11058333,83.6154,NA,NA,63.4809,73.1824,40.635,NA,NA,NA,83.6154,59.09943333,NA,71.35741667,35.62732222,18,36,31,AS044,43.713092,-79.515599,North,12549.99419,12.54999419,Urban,1.87618
50,MW031,31,3,34,2,1,3,NA,7/12/2021,7/19/2021,8/9/2021,7,3,44,5.84,2.22,8.54,3.84,9.56,9.22,2,5.77,2.3,7.42,3.72,9.51,9.26,3,5.62,2.29,8.12,3.72,9.33,9.2,0,35,6.32,2.12,8.32,4.14,10.19,10.16,5,6.51,2.21,8.24,3.95,8.13,8.3,0,4.97,2.14,7.26,4.1,9.57,8.72,1,11,6.31,2.65,8.52,3.83,7.02,7.27,0,6.6,2.31,8.91,4.27,8.96,8.45,0,8.43,2.32,8.37,4.29,6.57,6.43,0,1,12.9648,13.271,12.8698,13.3984,14.3871,10.6358,16.7215,15.246,19.5576,13.0352,12.8071,17.17503333,14.33911111,32.7936,27.6024,30.2064,34.4448,32.548,29.766,32.6316,38.0457,35.9073,30.2008,32.25293333,35.5282,32.66064444,88.1432,88.0626,85.836,103.5304,67.479,83.4504,51.0354,75.712,42.2451,87.34726667,84.81993333,56.33083333,76.16601111,41.05525556,30,90,31,AS044,43.713092,-79.515599,North,12549.99419,12.54999419,Urban,1.87618
51,MW031,31,11,46,4,1,5,NA,7/11/2021,7/16/2021,8/12/2021,1,4,5,4.02,1.92,9.04,4.61,7.65,8.23,0,4.03,2.21,9.06,4.36,10.02,9.63,1,3.89,2.05,8.22,4.29,9.12,8.58,0,10,4.65,1.72,7.45,4.03,6.14,6.08,0,4.88,2.11,7.92,4.13,8.03,8.14,0,4.9,1.93,8.31,4.09,7.41,7.91,2,31,4.18,2.21,7.81,4.23,6.86,6.62,1,4.37,1.75,7.42,4.06,8.24,8.27,1,4.99,1.96,7.27,3.52,9.13,9.18,5,1,7.7184,8.9063,7.9745,7.998,10.2968,9.457,9.2378,7.6475,9.7804,8.199733333,9.2506,8.888566667,8.779633333,41.6744,39.5016,35.2638,30.0235,32.7096,33.9879,33.0363,30.1252,25.5904,38.81326667,32.24033333,29.58396667,33.54585556,62.9595,96.4926,78.2496,37.3312,65.3642,58.6131,45.4132,68.1448,83.8134,79.2339,53.7695,65.79046667,66.26462222,36.1967037,15.33333333,46,31,AS044,43.713092,-79.515599,North,12549.99419,12.54999419,Urban,1.87618
52,MW031,31,21,3,3,1,4,NA,7/4/2021,7/18/2021,NA,0,3,11,3.62,2.33,7.07,4.06,8.77,8.68,0,3.25,2.08,8.13,4,8.25,8.41,0,3.48,2.03,7.28,3.76,8.7,8.67,0,4,3.79,1.83,6.37,4.14,8.05,7.96,0,4.34,2.28,6.7,3.37,7.41,7.44,3,4.88,1.95,7.21,3.93,7.51,7.45,0,26,3.32,1.9,7.02,3.88,7.61,7.51,2,4.39,1.52,7.71,3.83,6.88,6.68,0,3.73,1.81,7.8,3.62,7.28,7.43,1,1,8.4346,6.76,7.0644,6.9357,9.8952,9.516,6.308,6.6728,6.7513,7.419666667,8.7823,6.577366667,7.593111111,28.7042,32.52,27.3728,26.3718,22.579,28.3353,27.2376,29.5293,28.236,29.53233333,25.76203333,28.3343,27.87622222,76.1236,69.3825,75.429,64.078,55.1304,55.9495,57.1511,45.9584,54.0904,73.64503333,58.38596667,52.39996667,61.47698889,32.31544074,13.66666667,41,31,AS044,43.713092,-79.515599,North,12549.99419,12.54999419,Urban,1.87618
53,MW032,32,4,27,2,1,2,NA,7/4/2021,7/19/2021,8/12/2021,1,3,14,3.94,2.32,7.05,4.39,8.18,8.11,0,3.54,2.33,7.18,3.57,8.72,8.69,3,3.81,2.58,7.51,4.34,8.51,8.47,3,23,3.87,2.1,6.1,3.68,7.62,8.11,2,3.45,2.49,7.54,3.51,7.26,7.73,2,3.35,2.19,6.73,3.3,7.39,7.02,1,11,4.27,2.49,6.87,3.77,7.85,7.92,3,4.47,2.36,6.43,2.9,7.72,8.02,1,4.35,2.6,7.6,4.38,8.1,7.93,3,1,9.1408,8.2482,9.8298,8.127,8.5905,7.3365,10.6323,10.5492,11.31,9.072933333,8.018,10.8305,9.307144444,30.9495,25.6326,32.5934,22.448,26.4654,22.209,25.8999,18.647,33.288,29.72516667,23.70746667,25.94496667,26.4592,66.3398,75.7768,72.0797,61.7982,56.1198,51.8778,62.172,61.9144,64.233,71.39876667,56.5986,62.77313333,63.59016667,33.11883704,16,48,32,AS045,43.66963,-79.498027,South,9547.46299,9.54746299,Urban,1.9821
54,MW035,35,14,16,3,2,5,NA,7/16/2021,7/26/2021,NA,0,2,2,6.31,2.24,7.74,4.19,8.22,8.41,4,5.9,2.45,7.81,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14.1344,14.455,NA,NA,NA,NA,NA,NA,NA,14.2947,NA,NA,14.2947,32.4306,35.7698,NA,NA,NA,NA,NA,NA,NA,34.1002,NA,NA,34.1002,69.1302,NA,NA,NA,NA,NA,NA,NA,NA,69.1302,NA,NA,69.1302,39.17503333,2.5,5,35,AS048,43.349551,-80.098407,Rural,67250.04742,67.25004742,Rural,-3.55182
55,MW035,35,12,33,4,5,2,NA,7/21/2021,7/30/2021,8/16/2021,19,6,73,4.75,1.97,8.51,4.29,9,9.07,0,4.63,2.11,9.02,4.67,9.16,9.23,0,4.11,2.04,8.75,4.6,7.98,7.99,0,41,4.39,2.01,8.02,4.46,8.07,7.82,2,5.18,2.21,8.49,4.6,8.78,8.82,1,4.31,2.23,9.36,4.65,9.3,9.12,3,54,4.53,2.22,8.74,4.51,9.51,9.55,2,4.98,2.59,8.92,4.94,9.34,9.65,0,4.47,2.34,9.4,4.4,9.28,9.3,3,1,9.3575,9.7693,8.3844,8.8239,11.4478,9.6113,10.0566,12.8982,10.4598,9.1704,9.961,11.1382,10.08986667,36.5079,42.1234,40.25,35.7692,39.054,43.524,39.4174,44.0648,41.36,39.6271,39.44906667,41.61406667,40.23007778,81.63,84.5468,63.7602,63.1074,77.4396,84.816,90.8205,90.131,86.304,76.64566667,75.121,89.08516667,80.28394444,43.53462963,56,168,35,AS048,43.349551,-80.098407,Rural,67250.04742,67.25004742,Rural,-3.55182
56,MW035,35,14,12,3,3,1,NA,7/12/2021,7/13/2021,NA,0,1,6,4.31,2.21,7.77,3.73,9.85,9.62,3,5.3,2.31,8.41,3.91,9.38,8.93,2,5.23,2.27,8.26,3.69,8.73,9.35,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.5251,12.243,11.8721,NA,NA,NA,NA,NA,NA,11.2134,NA,NA,11.2134,28.9821,32.8831,30.4794,NA,NA,NA,NA,NA,NA,30.78153333,NA,NA,30.78153333,94.757,83.7634,81.6255,NA,NA,NA,NA,NA,NA,86.7153,NA,NA,86.7153,42.90341111,6,6,35,AS048,43.349551,-80.098407,Rural,67250.04742,67.25004742,Rural,-3.55182
57,MW036,36,9,30,2,4,1,NA,7/19/2021,7/19/2021,NA,0,1,1,3.38,2.05,5.19,4.05,6.99,7.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.929,NA,NA,NA,NA,NA,NA,NA,NA,6.929,NA,NA,6.929,21.0195,NA,NA,NA,NA,NA,NA,NA,NA,21.0195,NA,NA,21.0195,49.5591,NA,NA,NA,NA,NA,NA,NA,NA,49.5591,NA,NA,49.5591,25.83586667,1,1,36,AS049,43.321018,-80.049313,Rural,65630.64905,65.63064905,Rural,-3.25583
58,MW036,36,4,37,2,5,3,NA,7/19/2021,7/26/2021,8/9/2021,9,2,32,3.86,2.43,9.77,4.23,10.09,10.14,4,4.1,2.48,9.54,3.95,10.77,10.26,2,4.44,2.1,8.57,3.86,9.35,9.44,2,19,4.82,1.93,7.07,3.42,8.42,8.34,2,5.2,2.14,7.61,3.64,7.62,7.75,0,4.24,2.04,9.36,3.68,7.86,8.23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.3798,10.168,9.324,9.3026,11.128,8.6496,NA,NA,NA,9.623933333,9.6934,NA,9.658666667,41.3271,37.683,33.0802,24.1794,27.7004,34.4448,NA,NA,NA,37.36343333,28.77486667,NA,33.06915,102.3126,110.5002,88.264,70.2228,59.055,64.6878,NA,NA,NA,100.3589333,64.6552,NA,82.50706667,41.74496111,25.5,51,36,AS049,43.321018,-80.049313,Rural,65630.64905,65.63064905,Rural,-3.25583
59,MW036,36,3,20,1,2,2,NA,7/12/2021,7/13/2021,NA,0,1,11,3.87,2.19,8.07,3.96,7.12,7.79,1,3.58,2.15,6.98,4.06,7.36,7.71,0,3.24,1.96,7.31,3.92,7.5,7.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.4753,7.697,6.3504,NA,NA,NA,NA,NA,NA,7.507566667,NA,NA,7.507566667,31.9572,28.3388,28.6552,NA,NA,NA,NA,NA,NA,29.6504,NA,NA,29.6504,55.4648,56.7456,55.125,NA,NA,NA,NA,NA,NA,55.77846667,NA,NA,55.77846667,30.97881111,11,11,36,AS049,43.321018,-80.049313,Rural,65630.64905,65.63064905,Rural,-3.25583
60,MW039,39,13,37,4,5,4,Small inflor almost all eaten check second flow for measurments,7/30/2021,8/6/2021,NA,0,3,12,3.34,1.56,5.02,2.9,5.94,6.38,0,3.93,2.1,6.26,3.93,6.99,7.43,1,NA,NA,NA,NA,NA,NA,NA,7,4.5,2.04,7.63,3.66,4.68,6.46,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.84,1.87,7.06,3.45,6.76,6.35,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.2104,8.253,NA,9.18,NA,NA,7.1808,NA,NA,6.7317,9.18,7.1808,7.6975,14.558,24.6018,NA,27.9258,NA,NA,24.357,NA,NA,19.5799,27.9258,24.357,23.95423333,37.8972,51.9357,NA,30.2328,NA,NA,42.926,NA,NA,44.91645,30.2328,42.926,39.35841667,23.67005,8.333333333,25,39,AS052,43.701432,-79.56251,North,15458.99407,15.45899407,Urban,2.30737
61,MW039,39,11,23,1,5,1,NA,7/12/2021,7/16/2021,NA,0,2,3,4.28,2.08,5.69,4.04,8.25,8,0,3.93,2.24,6.37,4.07,7.95,8.18,8,4.22,2.49,5.84,3.94,7.99,8.03,0,2,3.99,2.05,6.23,3.42,6.76,6.75,1,3.4,1.62,5.88,3,5.91,5.84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.9024,8.8032,10.5078,8.1795,5.508,NA,NA,NA,NA,9.404466667,6.84375,NA,8.124108333,22.9876,25.9259,23.0096,21.3066,17.64,NA,NA,NA,NA,23.97436667,19.4733,NA,21.72383333,66,65.031,64.1597,45.63,34.5144,NA,NA,NA,NA,65.06356667,40.0722,NA,52.56788333,27.47194167,2.5,5,39,AS052,43.701432,-79.56251,North,15458.99407,15.45899407,Urban,2.30737
62,MW039,39,7,29,2,2,5,NA,7/9/2021,7/19/2021,8/6/2021,10,7,36,3.43,2.26,7.83,4.46,8.02,7.83,1,3.3,2.3,6.73,4.5,8.04,8.22,0,3.13,2.39,7.61,4.41,8.19,8.2,0,50,3.22,2.17,6.92,4.29,7.77,7.91,3,3.04,2.13,7.17,4.57,7.82,8.13,1,3.35,1.99,6.82,4.17,8.49,8.13,2,35,3.41,2.1,6.66,4.3,7.81,7.69,0,3.14,1.91,5.35,4.26,8.22,8.06,3,3.43,1.97,5.66,3.83,7.08,7.38,0,1,7.7518,7.59,7.4807,6.9874,6.4752,6.6665,7.161,5.9974,6.7571,7.6075,6.7097,6.6385,6.985233333,34.9218,30.285,33.5601,29.6868,32.7669,28.4394,28.638,22.791,21.6778,32.9223,30.2977,24.36893333,29.19631111,62.7966,66.0888,67.158,61.4607,63.5766,69.0237,60.0589,66.2532,52.2504,65.3478,64.687,59.52083333,63.18521111,33.12225185,40.33333333,121,39,AS052,43.701432,-79.56251,North,15458.99407,15.45899407,Urban,2.30737
63,MW040,40,15,41,4,3,3,NA,7/30/2021,7/30/2021,8/19/2021,3,1,26,4.43,2.21,7.75,3.81,8.43,8.13,2,4.39,2.21,7.06,3.77,8.64,8.83,1,4.23,2.18,6.54,4.01,8.37,8.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.7903,9.7019,9.2214,NA,NA,NA,NA,NA,NA,9.5712,NA,NA,9.5712,29.5275,26.6162,26.2254,NA,NA,NA,NA,NA,NA,27.45636667,NA,NA,27.45636667,68.5359,76.2912,67.797,NA,NA,NA,NA,NA,NA,70.8747,NA,NA,70.8747,35.96742222,26,26,40,AS053,43.690086,-79.572325,North,15864.05134,15.86405134,Urban,1.5481
64,MW040,40,11,35,4,3,2,NA,7/26/2021,7/30/2021,8/12/2021,9,3,32,4.27,2.45,9.18,3.8,9.03,8.99,0,4.29,2.55,9.49,4.57,9.03,9.1,0,4.39,2.45,9.3,4.37,8.14,8.06,2,19,3.77,2.68,6.72,3.94,8.22,8.51,1,4.89,2.52,6.27,3.91,8.65,8.79,1,4.32,2.38,7.57,4.03,7.99,8.47,0,17,4.06,2.53,6.98,4.17,8.08,7.97,3,4.24,2.39,6.86,4.53,7.92,8.02,0,4.44,2.42,6.77,4.48,7.38,7.67,1,1,10.4615,10.9395,10.7555,10.1036,12.3228,10.2816,10.2718,10.1336,10.7448,10.71883333,10.90266667,10.3834,10.6683,34.884,43.3693,40.641,26.4768,24.5157,30.5071,29.1066,31.0758,30.3296,39.63143333,27.16653333,30.17066667,32.32287778,81.1797,82.173,65.6084,69.9522,76.0335,67.6753,64.3976,63.5184,56.6046,76.32036667,71.22033333,61.50686667,69.68252222,37.5579,22.66666667,68,40,AS053,43.690086,-79.572325,North,15864.05134,15.86405134,Urban,1.5481
65,MW040,40,4,38,2,5,3,NA,7/21/2021,7/26/2021,8/16/2021,1,2,25,4.47,1.99,7.37,3.7,9.03,9.25,1,3.64,1.98,7.18,3.81,7.88,7.44,0,3.54,1.59,7.47,3.55,8.99,8.89,0,15,4.04,2.18,7.72,3.96,8.83,8.82,3,4.82,2.18,8.17,3.66,9.51,9.33,2,4.19,1.91,7.99,3.68,8.72,8.62,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.8953,7.2072,5.6286,8.8072,10.5076,8.0029,NA,NA,NA,7.2437,9.1059,NA,8.1748,27.269,27.3558,26.5185,30.5712,29.9022,29.4032,NA,NA,NA,27.04776667,29.95886667,NA,28.50331667,83.5275,58.6272,79.9211,77.8806,88.7283,75.1664,NA,NA,NA,74.02526667,80.59176667,NA,77.30851667,37.99554444,20,40,40,AS053,43.690086,-79.572325,North,15864.05134,15.86405134,Urban,1.5481
66,MW046,46,5,18,1,5,3,NA,7/21/2021,7/26/2021,8/16/2021,2,3,36,4.89,2.02,8.11,3.69,8.68,8.56,2,4.91,1.96,8.79,4.15,7.95,8.12,0,3.96,2.13,7.96,3.84,7.71,7.96,0,35,5.1,2.1,9.64,3.52,9.39,9.08,1,4.87,2.25,9.1,3.99,9.39,9.42,2,5.16,2.19,9.05,3.35,9.23,8.57,1,20,5.1,1.89,8.52,3.42,7.53,6.99,0,4.94,2.03,7.3,3.25,5.81,5.69,0,5.13,2.04,8.83,3.73,7.28,7.82,3,1,9.8778,9.6236,8.4348,10.71,10.9575,11.3004,9.639,10.0282,10.4652,9.312066667,10.9893,10.04413333,10.11516667,29.9259,36.4785,30.5664,33.9328,36.309,30.3175,29.1384,23.725,32.9359,32.3236,33.51976667,28.59976667,31.48104444,74.3008,64.554,61.3716,85.2612,88.4538,79.1011,52.6347,33.0589,56.9296,66.74213333,84.27203333,47.54106667,66.18507778,35.9270963,30.33333333,91,46,AS059,43.343046,-79.959704,Rural,58314.38553,58.31438553,Rural,-2.26854
67,MW046,46,4,46,2,4,1,NA,7/12/2021,7/13/2021,NA,0,1,3,3.9,2.6,8.48,3.57,8.2,8.08,2,4.06,2.26,8.54,3.24,8.47,7.98,4,4.41,2.27,7.75,3.7,8.25,8.86,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10.14,9.1756,10.0107,NA,NA,NA,NA,NA,NA,9.775433333,NA,NA,9.775433333,30.2736,27.6696,28.675,NA,NA,NA,NA,NA,NA,28.87273333,NA,NA,28.87273333,66.256,67.5906,73.095,NA,NA,NA,NA,NA,NA,68.98053333,NA,NA,68.98053333,35.87623333,3,3,46,AS059,43.343046,-79.959704,Rural,58314.38553,58.31438553,Rural,-2.26854
68,MW046,46,17,8,3,3,4,NA,6/29/2021,7/4/2021,NA,0,3,9,3.12,1.69,5.24,3.64,7.53,6.92,2,3.34,1.95,4.93,3.18,8.23,7.87,2,3.8,1.88,5.12,3.85,7.5,7.4,1,19,3.49,1.64,4.83,3.41,7.11,6.84,1,3.02,1.89,3.81,3.52,7.05,6.91,1,2.84,1.81,4.09,3.13,6.78,6.93,1,21,3.58,1.85,5.35,4.05,6.85,6.79,2,3.37,1.94,4.29,3.91,6.31,5.98,1,3.42,1.9,4.79,3.08,5.85,6.2,0,1,5.2728,6.513,7.144,5.7236,5.7078,5.1404,6.623,6.5378,6.498,6.309933333,5.523933333,6.552933333,6.128933333,19.0736,15.6774,19.712,16.4703,13.4112,12.8017,21.6675,16.7739,14.7532,18.15433333,14.22773333,17.73153333,16.70453333,52.1076,64.7701,55.5,48.6324,48.7155,46.9854,46.5115,37.7338,36.27,57.45923333,48.1111,40.17176667,48.5807,23.80472222,16.33333333,49,46,AS059,43.343046,-79.959704,Rural,58314.38553,58.31438553,Rural,-2.26854
69,MW046,46,3,42,2,2,2,NA,8/6/2021,8/6/2021,8/30/2021,4,2,21,4.14,2.42,7.42,3.7,8.68,8.38,1,4.08,2.32,7.8,4.12,9.83,9.78,5,3.86,2.34,7.61,4.42,4.44,9.5,5,17,3.98,2.29,7.3,4.36,9.64,9.59,1,4.74,2.51,7.89,4.43,10.18,10.21,2,3.57,2.26,7.36,4.37,10.38,10.33,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10.0188,9.4656,9.0324,9.1142,11.8974,8.0682,NA,NA,NA,9.5056,9.693266667,NA,9.599433333,27.454,32.136,33.6362,31.828,34.9527,32.1632,NA,NA,NA,31.0754,32.9813,NA,32.02835,72.7384,96.1374,42.18,92.4476,103.9378,107.2254,NA,NA,NA,70.35193333,101.2036,NA,85.77776667,42.46851667,19,38,46,AS059,43.343046,-79.959704,Rural,58314.38553,58.31438553,Rural,-2.26854
70,MW046,46,10,22,1,1,1,NA,7/19/2021,7/19/2021,NA,0,2,20,4.27,2.32,4.83,3.88,8.28,8.25,0,4.39,2.16,6.02,4.18,10.12,10.28,1,4.03,2.3,6.61,3.34,10.33,10.19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.9064,9.4824,9.269,NA,NA,NA,NA,NA,NA,9.5526,NA,NA,9.5526,18.7404,25.1636,22.0774,NA,NA,NA,NA,NA,NA,21.9938,NA,NA,21.9938,68.31,104.0336,105.2627,NA,NA,NA,NA,NA,NA,92.53543333,NA,NA,92.53543333,41.36061111,20,20,46,AS059,43.343046,-79.959704,Rural,58314.38553,58.31438553,Rural,-2.26854
71,MW047,47,5,16,1,1,5,NA,7/14/2021,7/16/2021,NA,0,1,6,4.6,1.99,6.95,3.56,7.03,7.31,2,3.84,1.31,8.03,3.35,6.81,6.89,0,4.34,1.85,8.62,3.53,7.12,7.52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.154,5.0304,8.029,NA,NA,NA,NA,NA,NA,7.404466667,NA,NA,7.404466667,24.742,26.9005,30.4286,NA,NA,NA,NA,NA,NA,27.35703333,NA,NA,27.35703333,51.3893,46.9209,53.5424,NA,NA,NA,NA,NA,NA,50.61753333,NA,NA,50.61753333,28.45967778,6,6,47,AS060,43.519441,-79.750471,Rural,33468.53545,33.46853545,Rural,-2.66342
72,MW047,47,2,40,2,2,4,NA,7/6/2021,7/6/2021,NA,0,1,14,4.32,2.41,5.57,3.9,6.96,6.31,0,4.09,2.7,5.75,3.67,8.24,8.82,0,4.46,2.44,7.26,3.48,6.59,6.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10.4112,11.043,10.8824,NA,NA,NA,NA,NA,NA,10.77886667,NA,NA,10.77886667,21.723,21.1025,25.2648,NA,NA,NA,NA,NA,NA,22.69676667,NA,NA,22.69676667,43.9176,72.6768,41.1875,NA,NA,NA,NA,NA,NA,52.59396667,NA,NA,52.59396667,28.68986667,14,14,47,AS060,43.519441,-79.750471,Rural,33468.53545,33.46853545,Rural,-2.66342
73,MW049,49,2,5,1,3,5,Flowers eaten before quantified,7/19/2021,7/19/2021,NA,0,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,49,AS062,43.534939,-79.732912,South,31431.85932,31.43185932,Urban,0.2286
